,country,year,sex,age,suicides_no,population,suicides.100k.pop,gdp_for_year,gdp_per_capita,generation,continent
7344,Czech Republic,2010,female,35-54 years,87,1445352,6.02,2.07E+11,20862,Generation X,Europe
7345,Czech Republic,2010,female,25-34 years,26,805752,3.23,2.07E+11,20862,Generation X,Europe
7346,Czech Republic,2010,female,15-24 years,20,629937,3.17,2.07E+11,20862,Millenials,Europe
7347,Czech Republic,2010,male,5-14 years,1,479853,0.21,2.07E+11,20862,Generation Z,Europe
7349,Czech Republic,2011,male,75+ years,118,246004,47.97,2.28E+11,23010,Silent,Europe
7350,Czech Republic,2011,male,55-74 years,424,1152114,36.8,2.28E+11,23010,Boomers,Europe
7351,Czech Republic,2011,male,35-54 years,500,1517715,32.94,2.28E+11,23010,Generation X,Europe
7352,Czech Republic,2011,male,25-34 years,173,818695,21.13,2.28E+11,23010,Millenials,Europe
7353,Czech Republic,2011,male,15-24 years,120,632356,18.98,2.28E+11,23010,Millenials,Europe
7354,Czech Republic,2011,female,75+ years,43,454906,9.45,2.28E+11,23010,Silent,Europe
7355,Czech Republic,2011,female,35-54 years,86,1456523,5.9,2.28E+11,23010,Generation X,Europe
7356,Czech Republic,2011,female,55-74 years,77,1312571,5.87,2.28E+11,23010,Boomers,Europe
7357,Czech Republic,2011,female,25-34 years,28,771896,3.63,2.28E+11,23010,Millenials,Europe
7358,Czech Republic,2011,female,15-24 years,19,602033,3.16,2.28E+11,23010,Millenials,Europe
7359,Czech Republic,2011,male,5-14 years,2,483911,0.41,2.28E+11,23010,Generation Z,Europe
7361,Czech Republic,2012,male,75+ years,146,248952,58.65,2.07E+11,20898,Silent,Europe
7362,Czech Republic,2012,male,55-74 years,430,1173069,36.66,2.07E+11,20898,Boomers,Europe
7363,Czech Republic,2012,male,35-54 years,538,1537251,35,2.07E+11,20898,Generation X,Europe
7364,Czech Republic,2012,male,25-34 years,179,796162,22.48,2.07E+11,20898,Millenials,Europe
7365,Czech Republic,2012,male,15-24 years,84,609704,13.78,2.07E+11,20898,Millenials,Europe
7366,Czech Republic,2012,female,75+ years,45,456859,9.85,2.07E+11,20898,Silent,Europe
7367,Czech Republic,2012,female,55-74 years,106,1333013,7.95,2.07E+11,20898,Boomers,Europe
7368,Czech Republic,2012,female,35-54 years,94,1471892,6.39,2.07E+11,20898,Generation X,Europe
7369,Czech Republic,2012,female,25-34 years,22,750032,2.93,2.07E+11,20898,Millenials,Europe
7370,Czech Republic,2012,female,15-24 years,10,581629,1.72,2.07E+11,20898,Millenials,Europe
7371,Czech Republic,2012,male,5-14 years,3,495721,0.61,2.07E+11,20898,Generation Z,Europe
7372,Czech Republic,2012,female,5-14 years,1,468843,0.21,2.07E+11,20898,Generation Z,Europe
7373,Czech Republic,2013,male,75+ years,129,252532,51.08,2.09E+11,21073,Silent,Europe
7374,Czech Republic,2013,male,55-74 years,399,1188011,33.59,2.09E+11,21073,Boomers,Europe
7375,Czech Republic,2013,male,35-54 years,485,1556338,31.16,2.09E+11,21073,Generation X,Europe
7376,Czech Republic,2013,male,25-34 years,168,773130,21.73,2.09E+11,21073,Millenials,Europe
7377,Czech Republic,2013,male,15-24 years,108,586871,18.4,2.09E+11,21073,Millenials,Europe
7378,Czech Republic,2013,female,75+ years,36,459282,7.84,2.09E+11,21073,Silent,Europe
7379,Czech Republic,2013,female,35-54 years,108,1488299,7.26,2.09E+11,21073,Generation X,Europe
7380,Czech Republic,2013,female,55-74 years,92,1347862,6.83,2.09E+11,21073,Boomers,Europe
7381,Czech Republic,2013,female,25-34 years,30,729365,4.11,2.09E+11,21073,Millenials,Europe
7382,Czech Republic,2013,female,15-24 years,15,560391,2.68,2.09E+11,21073,Millenials,Europe
7383,Czech Republic,2013,male,5-14 years,5,510895,0.98,2.09E+11,21073,Generation Z,Europe
7384,Czech Republic,2013,female,5-14 years,2,483804,0.41,2.09E+11,21073,Generation Z,Europe
7385,Czech Republic,2014,male,75+ years,123,257383,47.79,2.08E+11,20859,Silent,Europe
7386,Czech Republic,2014,male,55-74 years,364,1197687,30.39,2.08E+11,20859,Boomers,Europe
7387,Czech Republic,2014,male,35-54 years,467,1580637,29.55,2.08E+11,20859,Generation X,Europe
7388,Czech Republic,2014,male,25-34 years,157,752372,20.87,2.08E+11,20859,Millenials,Europe
7389,Czech Republic,2014,male,15-24 years,84,565782,14.85,2.08E+11,20859,Millenials,Europe
7390,Czech Republic,2014,female,75+ years,54,464061,11.64,2.08E+11,20859,Silent,Europe
7391,Czech Republic,2014,female,55-74 years,107,1356408,7.89,2.08E+11,20859,Boomers,Europe
7392,Czech Republic,2014,female,35-54 years,94,1509758,6.23,2.08E+11,20859,Generation X,Europe
7393,Czech Republic,2014,female,25-34 years,26,711374,3.65,2.08E+11,20859,Millenials,Europe
7394,Czech Republic,2014,female,15-24 years,11,540106,2.04,2.08E+11,20859,Millenials,Europe
7395,Czech Republic,2014,female,5-14 years,1,500027,0.2,2.08E+11,20859,Generation Z,Europe
7396,Czech Republic,2014,male,5-14 years,1,527532,0.19,2.08E+11,20859,Generation Z,Europe
7397,Czech Republic,2015,male,75+ years,145,264401,54.84,1.87E+11,18703,Silent,Europe
7398,Czech Republic,2015,male,55-74 years,373,1202553,31.02,1.87E+11,18703,Boomers,Europe
7399,Czech Republic,2015,male,35-54 years,404,1602521,25.21,1.87E+11,18703,Generation X,Europe
7400,Czech Republic,2015,male,25-34 years,151,737221,20.48,1.87E+11,18703,Millenials,Europe
7401,Czech Republic,2015,male,15-24 years,58,546597,10.61,1.87E+11,18703,Millenials,Europe
7402,Czech Republic,2015,female,75+ years,44,471092,9.34,1.87E+11,18703,Silent,Europe
7403,Czech Republic,2015,female,55-74 years,80,1358421,5.89,1.87E+11,18703,Boomers,Europe
7404,Czech Republic,2015,female,35-54 years,86,1528289,5.63,1.87E+11,18703,Generation X,Europe
7405,Czech Republic,2015,female,15-24 years,19,521060,3.65,1.87E+11,18703,Millenials,Europe
7406,Czech Republic,2015,female,25-34 years,20,698584,2.86,1.87E+11,18703,Millenials,Europe
7407,Czech Republic,2015,female,5-14 years,5,515457,0.97,1.87E+11,18703,Generation Z,Europe
7408,Czech Republic,2015,male,5-14 years,2,543129,0.37,1.87E+11,18703,Generation Z,Europe
7409,Czech Republic,2016,male,75+ years,140,273637,51.16,1.95E+11,19505,Silent,Europe
7410,Czech Republic,2016,male,55-74 years,319,1205832,26.45,1.95E+11,19505,Boomers,Europe
7411,Czech Republic,2016,male,35-54 years,386,1617906,23.86,1.95E+11,19505,Generation X,Europe
7412,Czech Republic,2016,male,25-34 years,137,729199,18.79,1.95E+11,19505,Millenials,Europe
7413,Czech Republic,2016,male,15-24 years,78,527890,14.78,1.95E+11,19505,Millenials,Europe
7414,Czech Republic,2016,female,55-74 years,86,1358948,6.33,1.95E+11,19505,Boomers,Europe
7415,Czech Republic,2016,female,35-54 years,91,1541109,5.9,1.95E+11,19505,Generation X,Europe
7416,Czech Republic,2016,female,75+ years,25,480884,5.2,1.95E+11,19505,Silent,Europe
7417,Czech Republic,2016,female,25-34 years,34,691963,4.91,1.95E+11,19505,Millenials,Europe
7418,Czech Republic,2016,female,15-24 years,22,502574,4.38,1.95E+11,19505,Millenials,Europe
7419,Denmark,1994,male,75+ years,89,131700,67.58,1.56E+11,32034,G.I. Generation,Europe
7420,Denmark,1994,male,55-74 years,189,448200,42.17,1.56E+11,32034,Silent,Europe
7421,Denmark,1994,male,35-54 years,279,755600,36.92,1.56E+11,32034,Boomers,Europe
7422,Denmark,1994,female,75+ years,70,230600,30.36,1.56E+11,32034,G.I. Generation,Europe
7423,Denmark,1994,male,25-34 years,85,414100,20.53,1.56E+11,32034,Boomers,Europe
7424,Denmark,1994,female,55-74 years,100,500000,20,1.56E+11,32034,Silent,Europe
7425,Denmark,1994,female,35-54 years,113,732100,15.44,1.56E+11,32034,Boomers,Europe
7426,Denmark,1994,male,15-24 years,37,360900,10.25,1.56E+11,32034,Generation X,Europe
7427,Denmark,1994,female,25-34 years,23,392600,5.86,1.56E+11,32034,Boomers,Europe
7428,Denmark,1994,female,15-24 years,13,346100,3.76,1.56E+11,32034,Generation X,Europe
7429,Denmark,1994,male,5-14 years,1,288100,0.35,1.56E+11,32034,Millenials,Europe
7431,Denmark,1995,male,75+ years,85,133500,63.67,1.85E+11,37841,G.I. Generation,Europe
7432,Denmark,1995,male,55-74 years,180,449600,40.04,1.85E+11,37841,Silent,Europe
7433,Denmark,1995,female,75+ years,63,233200,27.02,1.85E+11,37841,G.I. Generation,Europe
7434,Denmark,1995,male,35-54 years,204,762400,26.76,1.85E+11,37841,Boomers,Europe
7435,Denmark,1995,male,25-34 years,108,413900,26.09,1.85E+11,37841,Generation X,Europe
7436,Denmark,1995,female,55-74 years,102,498300,20.47,1.85E+11,37841,Silent,Europe
7437,Denmark,1995,female,35-54 years,108,739000,14.61,1.85E+11,37841,Boomers,Europe
7438,Denmark,1995,male,15-24 years,47,355700,13.21,1.85E+11,37841,Generation X,Europe
7439,Denmark,1995,female,25-34 years,18,393200,4.58,1.85E+11,37841,Generation X,Europe
7440,Denmark,1995,female,15-24 years,8,341800,2.34,1.85E+11,37841,Generation X,Europe
7441,Denmark,1995,male,5-14 years,1,291000,0.34,1.85E+11,37841,Millenials,Europe
7443,Denmark,1996,male,75+ years,95,134200,70.79,1.88E+11,38158,G.I. Generation,Europe
7444,Denmark,1996,male,55-74 years,170,452400,37.58,1.88E+11,38158,Silent,Europe
7445,Denmark,1996,male,35-54 years,236,771800,30.58,1.88E+11,38158,Boomers,Europe
7446,Denmark,1996,female,75+ years,47,234200,20.07,1.88E+11,38158,G.I. Generation,Europe
7447,Denmark,1996,male,25-34 years,83,416000,19.95,1.88E+11,38158,Generation X,Europe
7448,Denmark,1996,female,35-54 years,115,747600,15.38,1.88E+11,38158,Boomers,Europe
7449,Denmark,1996,female,55-74 years,71,498500,14.24,1.88E+11,38158,Silent,Europe
7450,Denmark,1996,male,15-24 years,46,348400,13.2,1.88E+11,38158,Generation X,Europe
7451,Denmark,1996,female,25-34 years,20,395400,5.06,1.88E+11,38158,Generation X,Europe
7452,Denmark,1996,female,15-24 years,8,335700,2.38,1.88E+11,38158,Generation X,Europe
7453,Denmark,1996,male,5-14 years,1,298600,0.33,1.88E+11,38158,Millenials,Europe
7455,Denmark,1997,male,75+ years,94,135400,69.42,1.74E+11,35148,G.I. Generation,Europe
7456,Denmark,1997,male,55-74 years,148,458400,32.29,1.74E+11,35148,Silent,Europe
7457,Denmark,1997,male,35-54 years,191,777200,24.58,1.74E+11,35148,Boomers,Europe
7458,Denmark,1997,female,75+ years,46,236400,19.46,1.74E+11,35148,G.I. Generation,Europe
7459,Denmark,1997,male,25-34 years,79,417200,18.94,1.74E+11,35148,Generation X,Europe
7460,Denmark,1997,female,55-74 years,88,501000,17.56,1.74E+11,35148,Silent,Europe
7461,Denmark,1997,male,15-24 years,45,337600,13.33,1.74E+11,35148,Generation X,Europe
7462,Denmark,1997,female,35-54 years,84,753500,11.15,1.74E+11,35148,Boomers,Europe
7463,Denmark,1997,female,25-34 years,22,397100,5.54,1.74E+11,35148,Generation X,Europe
7464,Denmark,1997,female,15-24 years,17,326300,5.21,1.74E+11,35148,Generation X,Europe
7465,Denmark,1997,male,5-14 years,3,306200,0.98,1.74E+11,35148,Millenials,Europe
7467,Denmark,1998,male,75+ years,74,136600,54.17,1.77E+11,35710,G.I. Generation,Europe
7468,Denmark,1998,male,35-54 years,235,780300,30.12,1.77E+11,35710,Boomers,Europe
7469,Denmark,1998,male,55-74 years,118,467900,25.22,1.77E+11,35710,Silent,Europe
7470,Denmark,1998,male,25-34 years,84,414200,20.28,1.77E+11,35710,Generation X,Europe
7471,Denmark,1998,female,75+ years,38,237600,15.99,1.77E+11,35710,G.I. Generation,Europe
7472,Denmark,1998,female,55-74 years,74,507800,14.57,1.77E+11,35710,Silent,Europe
7473,Denmark,1998,female,35-54 years,79,756900,10.44,1.77E+11,35710,Boomers,Europe
7474,Denmark,1998,male,15-24 years,34,327800,10.37,1.77E+11,35710,Generation X,Europe
7475,Denmark,1998,female,25-34 years,16,396400,4.04,1.77E+11,35710,Generation X,Europe
7476,Denmark,1998,female,15-24 years,9,316600,2.84,1.77E+11,35710,Generation X,Europe
7477,Denmark,1998,male,5-14 years,2,314900,0.64,1.77E+11,35710,Millenials,Europe
7479,Denmark,1999,male,75+ years,64,137353,46.6,1.78E+11,35763,G.I. Generation,Europe
7480,Denmark,1999,male,55-74 years,151,480316,31.44,1.78E+11,35763,Silent,Europe
7481,Denmark,1999,male,35-54 years,214,783204,27.32,1.78E+11,35763,Boomers,Europe
7482,Denmark,1999,male,25-34 years,91,408827,22.26,1.78E+11,35763,Generation X,Europe
7483,Denmark,1999,female,55-74 years,71,516749,13.74,1.78E+11,35763,Silent,Europe
7484,Denmark,1999,male,15-24 years,40,319101,12.54,1.78E+11,35763,Generation X,Europe
7485,Denmark,1999,female,75+ years,26,238400,10.91,1.78E+11,35763,G.I. Generation,Europe
7486,Denmark,1999,female,35-54 years,74,759458,9.74,1.78E+11,35763,Boomers,Europe
7487,Denmark,1999,female,25-34 years,21,392951,5.34,1.78E+11,35763,Generation X,Europe
7488,Denmark,1999,female,15-24 years,7,308800,2.27,1.78E+11,35763,Generation X,Europe
7489,Denmark,1999,male,5-14 years,3,323638,0.93,1.78E+11,35763,Millenials,Europe
7491,Denmark,2000,male,75+ years,72,138454,52,1.64E+11,32841,G.I. Generation,Europe
7492,Denmark,2000,male,55-74 years,142,495321,28.67,1.64E+11,32841,Silent,Europe
7493,Denmark,2000,male,35-54 years,218,783883,27.81,1.64E+11,32841,Boomers,Europe
7494,Denmark,2000,female,75+ years,42,239483,17.54,1.64E+11,32841,G.I. Generation,Europe
7495,Denmark,2000,male,25-34 years,61,403105,15.13,1.64E+11,32841,Generation X,Europe
7496,Denmark,2000,male,15-24 years,39,310470,12.56,1.64E+11,32841,Generation X,Europe
7497,Denmark,2000,female,55-74 years,54,528095,10.23,1.64E+11,32841,Silent,Europe
7498,Denmark,2000,female,35-54 years,74,760859,9.73,1.64E+11,32841,Boomers,Europe
7499,Denmark,2000,female,25-34 years,16,389550,4.11,1.64E+11,32841,Generation X,Europe
7500,Denmark,2000,female,15-24 years,9,300690,2.99,1.64E+11,32841,Generation X,Europe
7501,Denmark,2000,male,5-14 years,1,332762,0.3,1.64E+11,32841,Millenials,Europe
7503,Denmark,2001,male,75+ years,82,139637,58.72,1.65E+11,32837,Silent,Europe
7504,Denmark,2001,male,35-54 years,204,783604,26.03,1.65E+11,32837,Boomers,Europe
7505,Denmark,2001,male,55-74 years,123,512361,24.01,1.65E+11,32837,Silent,Europe
7506,Denmark,2001,female,75+ years,48,239716,20.02,1.65E+11,32837,Silent,Europe
7507,Denmark,2001,female,55-74 years,83,541963,15.31,1.65E+11,32837,Silent,Europe
7508,Denmark,2001,male,25-34 years,58,394591,14.7,1.65E+11,32837,Generation X,Europe
7509,Denmark,2001,male,15-24 years,38,304335,12.49,1.65E+11,32837,Millenials,Europe
7510,Denmark,2001,female,35-54 years,73,761705,9.58,1.65E+11,32837,Boomers,Europe
7511,Denmark,2001,female,15-24 years,7,294773,2.37,1.65E+11,32837,Millenials,Europe
7512,Denmark,2001,female,25-34 years,9,383262,2.35,1.65E+11,32837,Generation X,Europe
7513,Denmark,2001,male,5-14 years,2,340220,0.59,1.65E+11,32837,Millenials,Europe
7515,Denmark,2002,male,75+ years,77,140549,54.79,1.79E+11,35435,Silent,Europe
7516,Denmark,2002,male,55-74 years,140,528640,26.48,1.79E+11,35435,Silent,Europe
7517,Denmark,2002,male,35-54 years,182,784825,23.19,1.79E+11,35435,Boomers,Europe
7518,Denmark,2002,female,75+ years,42,239014,17.57,1.79E+11,35435,Silent,Europe
7519,Denmark,2002,male,25-34 years,64,383869,16.67,1.79E+11,35435,Generation X,Europe
7520,Denmark,2002,male,15-24 years,40,302190,13.24,1.79E+11,35435,Millenials,Europe
7521,Denmark,2002,female,55-74 years,63,556057,11.33,1.79E+11,35435,Silent,Europe
7522,Denmark,2002,female,35-54 years,63,762841,8.26,1.79E+11,35435,Boomers,Europe
7523,Denmark,2002,female,25-34 years,11,374887,2.93,1.79E+11,35435,Generation X,Europe
7524,Denmark,2002,female,15-24 years,6,292727,2.05,1.79E+11,35435,Millenials,Europe
7527,Denmark,2003,male,75+ years,73,141062,51.75,2.18E+11,43129,Silent,Europe
7528,Denmark,2003,male,35-54 years,206,784047,26.27,2.18E+11,43129,Boomers,Europe
7529,Denmark,2003,male,55-74 years,129,542296,23.79,2.18E+11,43129,Silent,Europe
7530,Denmark,2003,male,25-34 years,48,376343,12.75,2.18E+11,43129,Generation X,Europe
7531,Denmark,2003,female,75+ years,26,237848,10.93,2.18E+11,43129,Silent,Europe
7532,Denmark,2003,female,55-74 years,59,567852,10.39,2.18E+11,43129,Silent,Europe
7533,Denmark,2003,male,15-24 years,24,300836,7.98,2.18E+11,43129,Millenials,Europe
7534,Denmark,2003,female,35-54 years,43,763110,5.63,2.18E+11,43129,Boomers,Europe
7535,Denmark,2003,female,25-34 years,19,369080,5.15,2.18E+11,43129,Generation X,Europe
7536,Denmark,2003,female,15-24 years,6,290582,2.06,2.18E+11,43129,Millenials,Europe
7539,Denmark,2004,male,75+ years,69,142305,48.49,2.51E+11,49552,Silent,Europe
7540,Denmark,2004,male,35-54 years,180,782832,22.99,2.51E+11,49552,Boomers,Europe
7541,Denmark,2004,male,55-74 years,125,553556,22.58,2.51E+11,49552,Silent,Europe
7542,Denmark,2004,male,25-34 years,60,369973,16.22,2.51E+11,49552,Generation X,Europe
7543,Denmark,2004,female,55-74 years,66,578536,11.41,2.51E+11,49552,Silent,Europe
7544,Denmark,2004,male,15-24 years,33,301933,10.93,2.51E+11,49552,Millenials,Europe
7545,Denmark,2004,female,75+ years,23,237260,9.69,2.51E+11,49552,Silent,Europe
7546,Denmark,2004,female,35-54 years,71,762293,9.31,2.51E+11,49552,Boomers,Europe
7547,Denmark,2004,female,25-34 years,19,364710,5.21,2.51E+11,49552,Generation X,Europe
7548,Denmark,2004,female,15-24 years,11,290626,3.78,2.51E+11,49552,Millenials,Europe
7549,Denmark,2004,female,5-14 years,2,335587,0.6,2.51E+11,49552,Millenials,Europe
7550,Denmark,2004,male,5-14 years,2,353316,0.57,2.51E+11,49552,Millenials,Europe
7551,Denmark,2005,male,75+ years,83,143327,57.91,2.64E+11,51960,Silent,Europe
7552,Denmark,2005,male,55-74 years,139,564794,24.61,2.64E+11,51960,Silent,Europe
7553,Denmark,2005,male,35-54 years,158,781448,20.22,2.64E+11,51960,Boomers,Europe
7554,Denmark,2005,female,75+ years,38,236734,16.05,2.64E+11,51960,Silent,Europe
7555,Denmark,2005,male,25-34 years,53,364110,14.56,2.64E+11,51960,Generation X,Europe
7556,Denmark,2005,female,55-74 years,61,588430,10.37,2.64E+11,51960,Silent,Europe
7557,Denmark,2005,female,35-54 years,58,762175,7.61,2.64E+11,51960,Boomers,Europe
7558,Denmark,2005,male,15-24 years,21,305232,6.88,2.64E+11,51960,Millenials,Europe
7559,Denmark,2005,female,25-34 years,10,360100,2.78,2.64E+11,51960,Generation X,Europe
7560,Denmark,2005,female,15-24 years,7,292929,2.39,2.64E+11,51960,Millenials,Europe
7561,Denmark,2005,male,5-14 years,3,354025,0.85,2.64E+11,51960,Millenials,Europe
7563,Denmark,2006,male,75+ years,79,144928,54.51,2.83E+11,55354,Silent,Europe
7564,Denmark,2006,male,55-74 years,155,575056,26.95,2.83E+11,55354,Silent,Europe
7565,Denmark,2006,male,35-54 years,161,782816,20.57,2.83E+11,55354,Boomers,Europe
7566,Denmark,2006,male,25-34 years,52,355908,14.61,2.83E+11,55354,Generation X,Europe
7567,Denmark,2006,female,55-74 years,71,597984,11.87,2.83E+11,55354,Silent,Europe
7568,Denmark,2006,female,75+ years,25,236472,10.57,2.83E+11,55354,Silent,Europe
7569,Denmark,2006,male,15-24 years,24,312053,7.69,2.83E+11,55354,Millenials,Europe
7570,Denmark,2006,female,35-54 years,57,763418,7.47,2.83E+11,55354,Boomers,Europe
7571,Denmark,2006,female,25-34 years,15,353444,4.24,2.83E+11,55354,Generation X,Europe
7572,Denmark,2006,female,15-24 years,9,298500,3.02,2.83E+11,55354,Millenials,Europe
7573,Denmark,2006,female,5-14 years,1,336170,0.3,2.83E+11,55354,Millenials,Europe
7574,Denmark,2006,male,5-14 years,1,353711,0.28,2.83E+11,55354,Millenials,Europe
7575,Denmark,2007,male,75+ years,59,146309,40.33,3.19E+11,62229,Silent,Europe
7576,Denmark,2007,male,55-74 years,124,584457,21.22,3.19E+11,62229,Silent,Europe
7577,Denmark,2007,male,35-54 years,145,786990,18.42,3.19E+11,62229,Boomers,Europe
7578,Denmark,2007,male,25-34 years,56,347246,16.13,3.19E+11,62229,Generation X,Europe
7579,Denmark,2007,female,75+ years,33,235854,13.99,3.19E+11,62229,Silent,Europe
7580,Denmark,2007,female,35-54 years,71,768072,9.24,3.19E+11,62229,Boomers,Europe
7581,Denmark,2007,female,55-74 years,55,606387,9.07,3.19E+11,62229,Silent,Europe
7582,Denmark,2007,male,15-24 years,15,320054,4.69,3.19E+11,62229,Millenials,Europe
7583,Denmark,2007,female,25-34 years,15,345418,4.34,3.19E+11,62229,Generation X,Europe
7584,Denmark,2007,female,15-24 years,6,305722,1.96,3.19E+11,62229,Millenials,Europe
7585,Denmark,2007,male,5-14 years,2,351664,0.57,3.19E+11,62229,Generation Z,Europe
7587,Denmark,2008,male,75+ years,62,147834,41.94,3.53E+11,68447,Silent,Europe
7588,Denmark,2008,male,55-74 years,127,595286,21.33,3.53E+11,68447,Silent,Europe
7589,Denmark,2008,male,35-54 years,150,788890,19.01,3.53E+11,68447,Boomers,Europe
7590,Denmark,2008,male,25-34 years,48,341329,14.06,3.53E+11,68447,Generation X,Europe
7591,Denmark,2008,female,75+ years,27,235396,11.47,3.53E+11,68447,Silent,Europe
7592,Denmark,2008,female,55-74 years,63,616691,10.22,3.53E+11,68447,Silent,Europe
7593,Denmark,2008,female,35-54 years,76,770688,9.86,3.53E+11,68447,Boomers,Europe
7594,Denmark,2008,male,15-24 years,30,330409,9.08,3.53E+11,68447,Millenials,Europe
7595,Denmark,2008,female,25-34 years,9,338992,2.65,3.53E+11,68447,Generation X,Europe
7596,Denmark,2008,female,15-24 years,8,315514,2.54,3.53E+11,68447,Millenials,Europe
7597,Denmark,2008,female,5-14 years,2,332388,0.6,3.53E+11,68447,Generation Z,Europe
7598,Denmark,2008,male,5-14 years,1,349108,0.29,3.53E+11,68447,Generation Z,Europe
7599,Denmark,2009,male,75+ years,64,150153,42.62,3.21E+11,61863,Silent,Europe
7600,Denmark,2009,male,55-74 years,165,604423,27.3,3.21E+11,61863,Silent,Europe
7601,Denmark,2009,male,35-54 years,186,790578,23.53,3.21E+11,61863,Boomers,Europe
7602,Denmark,2009,female,75+ years,32,235213,13.6,3.21E+11,61863,Silent,Europe
7603,Denmark,2009,male,25-34 years,36,335963,10.72,3.21E+11,61863,Generation X,Europe
7604,Denmark,2009,female,55-74 years,52,625986,8.31,3.21E+11,61863,Silent,Europe
7605,Denmark,2009,male,15-24 years,24,340143,7.06,3.21E+11,61863,Millenials,Europe
7606,Denmark,2009,female,35-54 years,43,773415,5.56,3.21E+11,61863,Boomers,Europe
7607,Denmark,2009,female,25-34 years,13,334052,3.89,3.21E+11,61863,Generation X,Europe
7608,Denmark,2009,female,15-24 years,4,324876,1.23,3.21E+11,61863,Millenials,Europe
7609,Denmark,2009,male,5-14 years,2,347259,0.58,3.21E+11,61863,Generation Z,Europe
7610,Denmark,2009,female,5-14 years,1,330729,0.3,3.21E+11,61863,Generation Z,Europe
7611,Denmark,2010,male,75+ years,61,153231,39.81,3.22E+11,61711,Silent,Europe
7612,Denmark,2010,male,55-74 years,142,613233,23.16,3.22E+11,61711,Silent,Europe
7613,Denmark,2010,male,35-54 years,142,791338,17.94,3.22E+11,61711,Generation X,Europe
7614,Denmark,2010,male,25-34 years,43,329780,13.04,3.22E+11,61711,Generation X,Europe
7615,Denmark,2010,female,75+ years,22,236409,9.31,3.22E+11,61711,Silent,Europe
7616,Denmark,2010,female,55-74 years,56,634607,8.82,3.22E+11,61711,Silent,Europe
7617,Denmark,2010,female,35-54 years,64,776699,8.24,3.22E+11,61711,Generation X,Europe
7618,Denmark,2010,male,15-24 years,17,349175,4.87,3.22E+11,61711,Millenials,Europe
7619,Denmark,2010,female,15-24 years,10,333696,3,3.22E+11,61711,Millenials,Europe
7620,Denmark,2010,female,25-34 years,6,327722,1.83,3.22E+11,61711,Generation X,Europe
7623,Denmark,2011,male,75+ years,48,156856,30.6,3.44E+11,65598,Silent,Europe
7624,Denmark,2011,male,35-54 years,189,791137,23.89,3.44E+11,65598,Generation X,Europe
7625,Denmark,2011,male,55-74 years,139,621859,22.35,3.44E+11,65598,Boomers,Europe
7626,Denmark,2011,male,25-34 years,35,326633,10.72,3.44E+11,65598,Millenials,Europe
7627,Denmark,2011,female,75+ years,22,237867,9.25,3.44E+11,65598,Silent,Europe
7628,Denmark,2011,female,55-74 years,57,643276,8.86,3.44E+11,65598,Boomers,Europe
7629,Denmark,2011,male,15-24 years,26,356319,7.3,3.44E+11,65598,Millenials,Europe
7630,Denmark,2011,female,35-54 years,50,778373,6.42,3.44E+11,65598,Generation X,Europe
7631,Denmark,2011,female,25-34 years,12,323639,3.71,3.44E+11,65598,Millenials,Europe
7632,Denmark,2011,female,15-24 years,11,340056,3.23,3.44E+11,65598,Millenials,Europe
7635,Denmark,2012,male,75+ years,67,161259,41.55,3.27E+11,62071,Silent,Europe
7636,Denmark,2012,male,35-54 years,209,788215,26.52,3.27E+11,62071,Generation X,Europe
7637,Denmark,2012,male,55-74 years,153,630159,24.28,3.27E+11,62071,Boomers,Europe
7638,Denmark,2012,female,55-74 years,71,651381,10.9,3.27E+11,62071,Boomers,Europe
7639,Denmark,2012,male,25-34 years,31,326746,9.49,3.27E+11,62071,Millenials,Europe
7640,Denmark,2012,male,15-24 years,33,362466,9.1,3.27E+11,62071,Millenials,Europe
7641,Denmark,2012,female,75+ years,19,240759,7.89,3.27E+11,62071,Silent,Europe
7642,Denmark,2012,female,35-54 years,58,776419,7.47,3.27E+11,62071,Generation X,Europe
7643,Denmark,2012,female,25-34 years,11,322504,3.41,3.27E+11,62071,Millenials,Europe
7644,Denmark,2012,female,15-24 years,8,346154,2.31,3.27E+11,62071,Millenials,Europe
7645,Denmark,2012,male,5-14 years,1,340022,0.29,3.27E+11,62071,Generation Z,Europe
7647,Denmark,2013,male,75+ years,62,166011,37.35,3.44E+11,64831,Silent,Europe
7648,Denmark,2013,male,55-74 years,157,637775,24.62,3.44E+11,64831,Boomers,Europe
7649,Denmark,2013,male,35-54 years,174,785198,22.16,3.44E+11,64831,Generation X,Europe
7650,Denmark,2013,female,75+ years,25,243880,10.25,3.44E+11,64831,Silent,Europe
7651,Denmark,2013,male,25-34 years,33,328192,10.06,3.44E+11,64831,Millenials,Europe
7652,Denmark,2013,female,55-74 years,52,658936,7.89,3.44E+11,64831,Boomers,Europe
7653,Denmark,2013,female,35-54 years,54,775088,6.97,3.44E+11,64831,Generation X,Europe
7654,Denmark,2013,male,15-24 years,23,367000,6.27,3.44E+11,64831,Millenials,Europe
7655,Denmark,2013,female,25-34 years,16,322819,4.96,3.44E+11,64831,Millenials,Europe
7656,Denmark,2013,female,15-24 years,12,350607,3.42,3.44E+11,64831,Millenials,Europe
7657,Denmark,2013,female,5-14 years,1,324362,0.31,3.44E+11,64831,Generation Z,Europe
7658,Denmark,2013,male,5-14 years,1,339830,0.29,3.44E+11,64831,Generation Z,Europe
